Batch_ID,Timestamp,Tool_ID,Recipe_ID,Temperature_C,Pressure_Torr,Gas_Flow_sccm,Process_Time_s,Film_Thickness_nm,Thickness_Target_nm,Defect_Count,Yield_pct,Pass_Fail
B0001,2026-01-05 08:00:00,CVD-01,RCP-A,320.24,7.976,100.46,60.11,99.97,100.0,0,98.32,Pass
B0002,2026-01-05 08:18:00,CVD-02,RCP-A,319.77,8.04,102.18,59.34,99.64,100.0,1,98.12,Pass
B0003,2026-01-05 08:36:00,CVD-03,RCP-A,320.83,7.883,98.87,59.39,98.86,100.0,2,98.07,Pass
B0004,2026-01-05 08:54:00,CVD-01,RCP-A,321.75,8.169,99.52,59.86,101.3,100.0,2,97.12,Pass
B0005,2026-01-05 09:12:00,CVD-02,RCP-B,325.84,8.579,103.36,60.92,104.89,105.0,1,97.51,Pass
B0006,2026-01-05 09:30:00,CVD-03,RCP-A,321.35,7.861,97.42,60.42,100.21,100.0,1,96.6,Pass
B0007,2026-01-05 09:48:00,CVD-01,RCP-A,320.25,8.06,100.67,60.67,101.5,100.0,1,97.61,Pass
B0008,2026-01-05 10:06:00,CVD-02,RCP-A,320.65,7.984,101.5,59.8,101.35,100.0,0,98.29,Pass
B0009,2026-01-05 10:24:00,CVD-03,RCP-A,319.93,8.068,101.07,60.06,100.02,100.0,2,97.82,Pass
B0010,2026-01-05 10:42:00,CVD-01,RCP-B,324.26,8.315,103.72,61.35,102.74,105.0,2,96.97,Pass
B0011,2026-01-05 11:00:00,CVD-02,RCP-A,320.77,8.264,97.89,60.32,100.04,100.0,2,97.03,Pass
B0012,2026-01-05 11:18:00,CVD-03,RCP-A,320.16,8.041,102.41,59.79,100.83,100.0,1,97.86,Pass
B0013,2026-01-05 11:36:00,CVD-01,RCP-A,322.88,7.899,98.51,60.09,101.41,100.0,0,96.35,Pass
B0014,2026-01-05 11:54:00,CVD-02,RCP-A,319.08,7.832,101.72,58.99,99.48,100.0,0,96.64,Pass
B0015,2026-01-05 12:12:00,CVD-03,RCP-B,324.79,8.572,104.99,61.41,104.34,105.0,1,98.27,Pass
B0016,2026-01-05 12:30:00,CVD-01,RCP-A,319.99,7.972,99.56,60.19,99.52,100.0,0,97.93,Pass
B0017,2026-01-05 12:48:00,CVD-02,RCP-A,319.82,8.128,99.24,59.66,100.07,100.0,1,97.47,Pass
B0018,2026-01-05 13:06:00,CVD-03,RCP-A,317.34,8.123,97.59,59.63,97.67,100.0,5,94.07,Fail
